sampling time: 0.01703643798828125, length before: 551
sampling time: 0.02065420150756836, length before: 690
sampling time: 0.024816036224365234, length before: 867
sampling time: 0.019197463989257812, length before: 602
sampling time: 0.03057551383972168, length before: 1096
sampling time: 0.022413969039916992, length before: 741
sampling time: 0.021217823028564453, length before: 649
sampling time: 0.03781723976135254, length before: 1390
sampling time: 0.026380300521850586, length before: 899
sampling time: 0.025599241256713867, length before: 869
sampling time: 0.047534942626953125, length before: 1768
sampling time: 0.03167915344238281, length before: 1106
sampling time: 0.03276205062866211, length before: 1148
sampling time: 0.0592045783996582, length before: 2254
sampling time: 0.03871631622314453, length before: 1391
sampling time: 0.04104876518249512, length before: 1485
sampling time: 0.13767147064208984, length before: 2876
sampling time: 0.0480802059173584, length before: 1784
sampling time: 0.05089259147644043, length before: 1865
sampling time: 0.09449124336242676, length before: 3649
sampling time: 0.06326413154602051, length before: 2322
sampling time: 0.0650014877319336, length before: 2295
sampling time: 0.11956906318664551, length before: 4617
sampling time: 0.07958221435546875, length before: 3020
sampling time: 0.07407712936401367, length before: 2805
sampling time: 0.22377705574035645, length before: 5825
sampling time: 0.10354328155517578, length before: 3898
sampling time: 0.09216094017028809, length before: 3455
sampling time: 0.28064727783203125, length before: 7353
sampling time: 0.13114166259765625, length before: 4951
sampling time: 0.11457276344299316, length before: 4335
sampling time: 0.2376251220703125, length before: 9286
sampling time: 0.39681315422058105, length before: 6218
sampling time: 0.14579010009765625, length before: 5534
sampling time: 0.30326128005981445, length before: 11752
sampling time: 0.20187783241271973, length before: 7730
sampling time: 0.18718314170837402, length before: 7177
sampling time: 0.3842949867248535, length before: 14907
sampling time: 0.5257382392883301, length before: 14907
