sampling time: 0.01600956916809082, length before: 506, length after: 500
sampling time: 0.01898813247680664, length before: 632, length after: 500
sampling time: 0.022518157958984375, length before: 776, length after: 500
sampling time: 0.01794886589050293, length before: 583, length after: 500
sampling time: 0.027460098266601562, length before: 941, length after: 500
sampling time: 0.02169203758239746, length before: 733, length after: 500
sampling time: 0.03163933753967285, length before: 1146, length after: 500
sampling time: 0.025763273239135742, length before: 881, length after: 500
sampling time: 0.01672673225402832, length before: 528, length after: 500
sampling time: 0.03845620155334473, length before: 1409, length after: 500
sampling time: 0.029969453811645508, length before: 1023, length after: 500
sampling time: 0.022315502166748047, length before: 734, length after: 500
sampling time: 0.0476226806640625, length before: 1757, length after: 500
sampling time: 0.03456521034240723, length before: 1180, length after: 500
sampling time: 0.030141592025756836, length before: 1049, length after: 500
sampling time: 0.05870842933654785, length before: 2229, length after: 500
sampling time: 0.03893446922302246, length before: 1395, length after: 500
sampling time: 0.04050040245056152, length before: 1467, length after: 500
sampling time: 0.074462890625, length before: 2862, length after: 500
sampling time: 0.04698038101196289, length before: 1718, length after: 500
sampling time: 0.05318593978881836, length before: 1965, length after: 500
sampling time: 0.09525418281555176, length before: 3683, length after: 500
sampling time: 0.058682918548583984, length before: 2216, length after: 500
sampling time: 0.06601166725158691, length before: 2491, length after: 500
sampling time: 0.12044024467468262, length before: 4707, length after: 500
sampling time: 0.07664179801940918, length before: 2951, length after: 500
sampling time: 0.07826614379882812, length before: 2999, length after: 500
sampling time: 0.15225958824157715, length before: 5950, length after: 500
sampling time: 0.1047067642211914, length before: 3955, length after: 500
sampling time: 0.0896446704864502, length before: 3465, length after: 500
sampling time: 0.19184207916259766, length before: 7420, length after: 500
sampling time: 0.13673019409179688, length before: 5210, length after: 500
sampling time: 0.10457253456115723, length before: 3940, length after: 500
sampling time: 0.232163667678833, length before: 9150, length after: 500
sampling time: 0.23839879035949707, length before: 9150, length after: 500
